country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2004,0.02,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2005,0.02,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2006,0.02,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2007,0.02,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2008,0.02,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2009,0.02,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2010,0.02,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2011,0.02,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2012,0.02,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2013,0.02,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2014,0.02,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2015,0.02,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2016,0.02,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2017,0.02,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2018,0.02,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2019,0.02,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2020,0.02,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2021,0.02,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2022,0.02,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2000,0.02,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2001,0.02,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2002,0.02,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2003,0.02,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2004,0.02,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2005,0.02,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2006,0.02,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2007,0.02,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2008,0.02,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2009,0.02,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2010,0.02,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2011,0.02,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2012,0.02,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2013,0.02,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2014,0.02,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2015,0.02,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2016,0.02,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2017,0.02,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2018,0.02,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2019,0.02,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2020,0.02,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2021,0.02,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Afghanistan,AF,AFG,4,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2022,0.02,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2000,0.01,Female,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2001,0.01,Female,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2002,0.01,Female,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2003,0.01,Female,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2004,0.02,Female,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2005,0.02,Female,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2006,0.02,Female,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2007,0.02,Female,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2008,0.02,Female,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2009,0.02,Female,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2010,0.02,Female,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2011,0.02,Female,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2012,0.03,Female,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2013,0.03,Female,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2014,0.03,Female,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2015,0.04,Female,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2016,0.04,Female,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2017,0.04,Female,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2018,0.04,Female,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2019,0.04,Female,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2020,0.04,Female,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2021,0.05,Female,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2022,0.05,Female,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2000,<0.01,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2001,0.01,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2002,0.01,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2003,0.01,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2004,0.02,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2005,0.02,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2006,0.02,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2007,0.02,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2008,0.02,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2009,0.02,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2010,0.02,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2011,0.02,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2012,0.03,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2013,0.03,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2014,0.03,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2015,0.04,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2016,0.04,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2017,0.04,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2018,0.04,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2019,0.04,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2020,0.04,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2021,0.05,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2022,0.05,Male,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2000,0.01,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2001,0.01,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2002,0.01,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2003,0.01,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2004,0.02,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2005,0.02,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2006,0.02,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2007,0.02,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2008,0.02,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2009,0.02,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2010,0.02,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2011,0.02,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2012,0.03,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2013,0.03,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2014,0.03,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2015,0.04,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2016,0.04,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2017,0.04,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2018,0.04,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2019,0.04,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2020,0.04,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2021,0.05,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Algeria,DZ,DZA,12,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2022,0.05,Total,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Angola,AO,AGO,24,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2000,1.67,Female,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Angola,AO,AGO,24,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2001,1.77,Female,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Angola,AO,AGO,24,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2002,1.85,Female,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Angola,AO,AGO,24,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2003,1.93,Female,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Angola,AO,AGO,24,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2004,1.98,Female,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
Angola,AO,AGO,24,"Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",2005,2,Female,Units,"Rate per 1,000 of Population",Estimated value,Free,,Total
